belongs_to_collection,nro_peliculas,total_revenue,average_revenue
The Bowery Boys,29,0.0,0.0
Totò Collection,27,0.0,0.0
James Bond Collection,26,7106970239.0,273345009.1923077
Zatôichi: The Blind Swordsman,26,0.0,0.0
The Carry On Collection,25,0.0,0.0
Charlie Chan (Sidney Toler) Collection,21,0.0,0.0
Pokémon Collection,20,505431120.0,28079506.666666668
Godzilla (Showa) Collection,16,0.0,0.0
Dragon Ball Z (Movie) Collection,15,112121192.0,7474746.133333334
Charlie Chan (Warner Oland) Collection,15,0.0,0.0
Uuno Turhapuro,15,0.0,0.0
The Land Before Time Collection,14,84460846.0,6032917.571428572
Monster High Collection,14,0.0,0.0
George Carlin Comedy Collection,13,0.0,0.0
Sharpe Collection,13,0.0,0.0
Friday the 13th Collection,12,464898544.0,38741545.333333336
The Amityville Horror Collection,12,213347083.0,17778923.583333332
Johan Falk GSI Collection,12,0.0,0.0
Sherlock Holmes (1939 series),12,0.0,0.0
The Love Comes Softly Collection,10,0.0,0.0
Puppet Master Collection,10,0.0,0.0
Il Maresciallo Giraldi Collection,10,0.0,0.0
Hellraiser Collection,10,55864723.0,5586472.3
An American Girl Collection,10,0.0,0.0
Fantozzi Collection,10,0.0,0.0
Tom and Jerry Collection,10,0.0,0.0
Asterix and Obelix (Animation) Collection,9,0.0,0.0
The Pink Panther (Original) Collection,9,164478248.0,18275360.888888888
The Garden of Sinners,9,0.0,0.0
Dracula (Hammer Series),9,909413.0,101045.88888888889
Children of the Corn Collection,9,20980986.0,2331220.6666666665
Ernest Collection,9,51711491.0,5745721.222222222
The Magick Lantern Cycle,9,0.0,0.0
Jesse Stone Collection,9,0.0,0.0
The Hire,9,0.0,0.0
Harry Potter Collection,8,7707367425.0,963420928.125
Star Wars Collection,8,7434494790.0,929311848.75
Jönsson Gang,8,0.0,0.0
"Signed, Sealed, Delivered",8,0.0,0.0
Halloween Collection,8,247168056.0,30896007.0
Gamera Films,8,0.0,0.0
Tarzan (Johnny Weissmuller series),8,0.0,0.0
A Nightmare on Elm Street Collection,8,363591558.0,45448944.75
The Fast and the Furious Collection,8,5125098793.0,640637349.125
Police Story Collection,7,123544268.0,17649181.14285714
Road to Collection,7,0.0,0.0
Rocky Collection,7,1337126094.0,191018013.42857143
Police Academy Collection,7,304643237.0,43520462.428571425
The Muppet Collection,7,400124401.0,57160628.71428572
Mr. Moto Collection,7,0.0,0.0
Vares Collection,7,0.0,0.0
Cheech & Chong Collection,7,119943461.0,17134780.14285714
