original_language,cantidad
en,31876
fr,2415
it,1510
ja,1339
de,1071
es,982
ru,816
hi,501
ko,442
zh,405
sv,382
pt,313
cn,310
fi,285
nl,243
da,223
pl,212
tr,141
cs,128
el,112
no,106
hu,97
fa,96
ta,78
th,74
he,66
sr,63
ro,57
te,45
ar,38
ml,36
xx,32
bn,29
hr,29
mr,24
et,24
is,23
tl,22
id,20
ka,18
lv,17
sl,16
uk,16
bs,13
ca,12
vi,10
bg,10
ab,10
sk,9
lt,9
ur,8
nb,6
mk,5
sq,5
ms,5
sh,5
wo,5
kn,3
ku,3
bm,3
ky,3
eu,3
kk,3
pa,2
af,2
lo,2
bo,2
ne,2
iu,2
mn,2
am,2
ps,2
tg,1
uz,1
la,1
sm,1
si,1
rw,1
qu,1
mt,1
lb,1
jv,1
hy,1
gl,1
fy,1
eo,1
cy,1
ay,1
zu,1
