productora,revenue,nro_peliculas
Warner Bros.,63525187272.0,1248
Metro-Goldwyn-Mayer (MGM),12376790071.0,1073
Paramount Pictures,48730606306.0,996
Twentieth Century Fox Film Corporation,47687746332.0,834
Universal Pictures,55259190410.0,827
Columbia Pictures Corporation,11349089631.0,447
Canal+,6214423877.0,433
Columbia Pictures,32279735705.0,429
RKO Radio Pictures,1122451525.0,290
New Line Cinema,22173391499.0,276
United Artists,5958308805.0,276
Walt Disney Pictures,40837270159.0,262
Touchstone Pictures,14121784861.0,224
TriStar Pictures,8022366764.0,197
Mosfilm,18643553.0,186
Miramax Films,5717665612.0,182
France 2 Cinéma,499481210.0,167
Centre National de la Cinématographie (CNC),207258129.0,160
Toho Company,1262972662.0,141
BBC Films,1319820560.0,130
Gaumont,1128637077.0,124
StudioCanal,3362753232.0,122
Relativity Media,14603149665.0,119
British Broadcasting Corporation (BBC),630028903.0,117
TF1 Films Production,2142447029.0,117
Walt Disney Productions,2305370464.0,116
Orion Pictures,2011680301.0,111
Village Roadshow Pictures,14904700343.0,106
Regency Enterprises,8925536872.0,105
Universal International Pictures (UI),73447473.0,97
Dimension Films,3705102866.0,96
Zweites Deutsches Fernsehen (ZDF),269894221.0,96
Lionsgate,6384194669.0,95
DreamWorks SKG,15475754744.0,95
Wild Bunch,456504631.0,93
Fox Searchlight Pictures,3063437841.0,92
Hammer Film Productions,197121952.0,90
American International Pictures (AIP),136567000.0,88
Svensk Filmindustri (SF),14524709.0,86
Rai Cinema,142515910.0,86
Working Title Films,5733215126.0,85
Channel Four Films,713773687.0,84
Hollywood Pictures,3013414867.0,84
Shaw Brothers,34639619.0,83
Film i Väst,595171667.0,80
Nordisk Film,253236996.0,79
Film4,1395054015.0,79
Lions Gate Films,2079766814.0,79
TLA Releasing,4214834.0,78
Castle Rock Entertainment,2560215988.0,77
CJ Entertainment,496981067.0,76
Amblin Entertainment,17343720181.0,76
Millennium Films,1967868139.0,76
Nikkatsu,137750.0,72
The Rank Organisation,25833371.0,72
Shôchiku Eiga,0.0,72
Summit Entertainment,8609052656.0,72
New World Pictures,114927739.0,71
HBO Films,423510647.0,71
First National Pictures,2500000.0,71
Home Box Office (HBO),1101310761.0,70
Westdeutscher Rundfunk (WDR),316939826.0,70
Arte France Cinéma,118111966.0,70
CinéCinéma,827640418.0,69
France 3 Cinéma,624397857.0,69
Imagine Entertainment,6158026824.0,69
PolyGram Filmed Entertainment,2286216009.0,67
Eurimages,185644683.0,67
Warner Bros. Animation,1310034622.0,66
Ciné+,1359306925.0,66
Fox 2000 Pictures,6875489565.0,65
Dune Entertainment,15003789066.0,65
Monogram Pictures,0.0,64
EuropaCorp,2329242751.0,62
UK Film Council,1270881498.0,62
BBC,138346563.0,61
DC Comics,4625643782.0,60
Fox Film Corporation,7630121.0,59
Focus Features,2557457196.0,58
Morgan Creek Productions,1604245628.0,56
Hallmark Entertainment,0.0,55
M6 Films,1169217252.0,55
Téléfilm Canada,201540867.0,55
New Regency Pictures,4568021312.0,55
Nu Image Films,973744842.0,54
Screen Gems,2837293193.0,54
The Weinstein Company,3479192392.0,54
Televisión Española (TVE),114778167.0,53
Canal+ España,563105311.0,53
Lakeshore Entertainment,2189502665.0,53
Pixar Animation Studios,11188533734.0,52
Blumhouse Productions,2554059073.0,52
Zentropa Entertainments,117550827.0,52
Pathé,755369760.0,52
Silver Pictures,6044112169.0,52
Lenfilm,0.0,52
Arte,219920605.0,51
Daiei Studios,99000.0,51
Fine Line Features,131255556.0,50
Davis Entertainment,4360636123.0,50
Constantin Film Produktion,1800342753.0,50
The Asylum,1500000.0,50
Golden Harvest Company,671198188.0,50
DreamWorks Animation,13707515604.0,49
Toei Animation,251328265.0,48
Scott Rudin Productions,3911905868.0,48
Scott Free Productions,5042929152.0,48
Allied Artists Pictures,63267000.0,47
Participant Media,1714088851.0,47
Sveriges Television (SVT),292398066.0,47
"Samuel Goldwyn Company, The",28962566.0,46
Revolution Studios,3162502930.0,46
Epsilon Motion Pictures,2314023736.0,45
Scope Pictures,346921850.0,43
Procirep,22602426.0,43
London Film Productions,596349.0,43
Studio Canal,1774801767.0,43
Medusa Film,242341444.0,43
Bavaria Film,197211786.0,43
Edison Manufacturing Company,0.0,43
British Film Institute (BFI),62822648.0,43
Legendary Pictures,13468663007.0,42
Spyglass Entertainment,4938358559.0,42
Original Film,9048042462.0,42
A24,246822978.0,42
Shochiku Company,84672854.0,42
France 3 Cinema,171460055.0,41
Carolco Pictures,2120899664.0,41
Screen Australia,214398381.0,40
TPS Star,445324529.0,40
Ealing Studios,12283254.0,40
Happy Madison Productions,3863931133.0,40
Filmové Studio Barrandov,0.0,40
Globo Filmes,1980016.0,40
Dino de Laurentiis Cinematografica,65378432.0,40
Malpaso Productions,2983382075.0,39
Anonymous Content,1291352479.0,39
Région Ile-de-France,42700003.0,39
WWE Studios,323344366.0,39
Why Not Productions,445335209.0,39
Sony Pictures Classics,349051775.0,39
The Criterion Collection,298713095.0,39
Hal Roach Studios,14000623.0,39
Netflix,0.0,38
Cannon Group,223501939.0,38
Les Films du Losange,65844753.0,38
Irish Film Board,187568125.0,38
Ingenious Film Partners,8104725662.0,37
TSG Entertainment,10157878732.0,37
Canal Plus,876308645.0,37
Studio Babelsberg,4744034143.0,37
Svenska Filminstitutet (SFI),203845741.0,37
ARTE,28287479.0,37
Yleisradio (YLE),86187713.0,36
Interscope Communications,1129048982.0,36
Killer Films,109843766.0,36
Trimark Pictures,10790171.0,36
American Zoetrope,1112178349.0,36
Centre National de la Cinématographie,97139390.0,36
MK2 Productions,11443006.0,35
The Vitaphone Corporation,1200000.0,35
Dentsu,6853205390.0,35
Australian Film Finance Corporation (AFFC),96994419.0,35
Radio Télévision Belge Francophone (RTBF),52672861.0,35
Renn Productions,318372983.0,35
Disney Channel,7000000.0,35
UTV Motion Pictures,329642979.0,35
Larry Levinson Productions,0.0,35
40 Acres & A Mule Filmworks,465701025.0,35
Republic Pictures,25279229.0,35
Titanus,0.0,35
The Mirisch Corporation,85650620.0,34
Les Films Alain Sarde,22443620.0,34
Universal Studios,3265387180.0,34
Universum Film (UFA),40464068.0,34
Pandora Filmproduktion,30052606.0,34
Eros International,244420000.0,33
Intermedia Films,1386715350.0,33
Emmett/Furla Films,1122649740.0,33
British Screen Productions,81426030.0,33
Vertigo Entertainment,2467443932.0,33
Toei Company,151202151.0,33
Le Tax Shelter du Gouvernement Fédéral de Belgique,239632489.0,33
Les Productions Artistes Associés,70362950.0,33
Fandango,17504693.0,33
Werner Herzog Filmproduktion,0.0,33
Det Danske Filminstitut,154055417.0,32
Cinetel Films,3529535.0,32
Full Moon Entertainment,0.0,32
Bandai Visual Company,132533613.0,32
Ministero per i Beni e le Attività Culturali (MiBAC),5488389.0,32
Solar Films inc.,28000000.0,32
Arte France,1893546.0,32
Marvel Studios,11699635216.0,31
Soyuzmultfilm,0.0,31
Madhouse,100652666.0,31
Yash Raj Films,490207655.0,31
Canadian Film or Video Production Tax Credit (CPTC),384783269.0,31
Jadran Film,28400000.0,30
Walt Disney Animation Studios,6053111698.0,30
Gaumont International,0.0,30
Dino De Laurentiis Company,1027697390.0,30
Lipsync Productions,46809967.0,30
Golan-Globus Productions,105026839.0,30
Bayerischer Rundfunk (BR),82997141.0,30
Showtime Networks,76169647.0,30
Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),279045751.0,30
Films A2,0.0,30
Greek Film Center,15766390.0,29
Franchise Pictures,449826605.0,29
DC Entertainment,6212608621.0,29
Lucasfilm,9898421106.0,29
